[2026-06-28 15:31:39] [26881.5043] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:33:40] [27002.1597] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 502 Bad Gateway","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:34:45] [27067.5065] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:35:51] [27132.8760] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:38:01] [27263.2314] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 524 <unknown status code>","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:39:06] [27328.6044] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:40:12] [27393.9777] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:41:17] [27459.4054] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:42:23] [27524.8557] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:44:33] [27655.2334] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 524 <unknown status code>","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:45:39] [27720.7033] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:46:44] [27786.0917] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:48:54] [27916.4831] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 524 <unknown status code>","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:50:00] [27981.9008] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:51:05] [28047.2278] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:52:11] [28112.7261] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:53:17] [28179.0433] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:54:22] [28244.4432] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:55:28] [28309.8711] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:56:33] [28375.3007] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:56:43] [28384.8209] [WARNING] [WebSocket] Connection state | Cause: connected | Location: src\app\client.rs:77:59 | Context: {"route":"@internal|internal/connected","status":"connected","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:58:43] [28504.9352] [WARNING] [WebSocket] Connection state | Cause: disconnected | Location: src\app\client.rs:77:59 | Context: {"reason":"Connection lost: Some(Protocol(ResetWithoutClosingHandshake)) will retry in 5 seconds","retry_interval":5,"route":"@internal|internal/disconnected","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 15:59:48] [28570.3010] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 16:00:54] [28635.7166] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 16:01:59] [28701.1382] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
